filename,image_path,mask_path,total_pixels,dominant_label_id,dominant_label_name,background_pix,cribriform_pix,micropapillary_pix,solid_pix,papillary_pix,acinar_pix,lepidic_pix,split
train001_Da382.png,c:\Magisterka\trainset\image\train001_Da382.png,c:\Magisterka\trainset\mask\train001_Da382.mat,4000000,6,lepidic,1489524,0,0,0,0,0,2510476,train
train002_Da425.jpg,c:\Magisterka\trainset\image\train002_Da425.jpg,c:\Magisterka\trainset\mask\train002_Da425.mat,4000000,0,background,4000000,0,0,0,0,0,0,train
train003_Da449.jpg,c:\Magisterka\trainset\image\train003_Da449.jpg,c:\Magisterka\trainset\mask\train003_Da449.mat,4000000,0,background,4000000,0,0,0,0,0,0,test
train004_Da473.jpg,c:\Magisterka\trainset\image\train004_Da473.jpg,c:\Magisterka\trainset\mask\train004_Da473.mat,4000000,0,background,4000000,0,0,0,0,0,0,train
train005_Da106.png,c:\Magisterka\trainset\image\train005_Da106.png,c:\Magisterka\trainset\mask\train005_Da106.mat,4000000,0,background,4000000,0,0,0,0,0,0,train
train006_Da109.png,c:\Magisterka\trainset\image\train006_Da109.png,c:\Magisterka\trainset\mask\train006_Da109.mat,4000000,0,background,4000000,0,0,0,0,0,0,test
train007_Da111.png,c:\Magisterka\trainset\image\train007_Da111.png,c:\Magisterka\trainset\mask\train007_Da111.mat,4000000,0,background,4000000,0,0,0,0,0,0,train
train008_Da229.png,c:\Magisterka\trainset\image\train008_Da229.png,c:\Magisterka\trainset\mask\train008_Da229.mat,1477220,0,background,961081,0,516139,0,0,0,0,train
train009_Da230.png,c:\Magisterka\trainset\image\train009_Da230.png,c:\Magisterka\trainset\mask\train009_Da230.mat,319518,0,background,211143,0,108375,0,0,0,0,train
train010_Da231.jpg,c:\Magisterka\trainset\image\train010_Da231.jpg,c:\Magisterka\trainset\mask\train010_Da231.mat,1685232,0,background,1234188,0,345791,0,105253,0,0,val
train011_Da269.png,c:\Magisterka\trainset\image\train011_Da269.png,c:\Magisterka\trainset\mask\train011_Da269.mat,234052,0,background,184396,0,49656,0,0,0,0,train
